Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean,category,has_top_club,primary_club,is_transfer_window,title_length,title_words,has_slash,has_rumor,has_number,log_income,is_hit,days_since_start
2025-08-08 18:19:54.530,Статья,Смогут ли эти футболисты реанимировать свою карьеру? Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/689613c94557dd55e561bcb6,7546,68155,36111,2259,12,21,46,0,110.95,109.51,0.0,0.5298364023182451,0.2089667968209133,0.0076861913596607,14.703153988868277,2025-08,4,18,8,0.5298364023182451,0.2089667968209133,0.0076861913596607,Трансферы,0,Нет клуба,1,66,9,0,0,0,4.718052343044764,0,268
2025-08-12 14:31:24.063,Статья,Сборная России узнала всех своих соперников до конца года,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6899f4e6872633331e35474c,6,139,16,6,0,0,0,0,0.33,0.33,0.0,0.1151079136690647,0.375,0.0,55.0,2025-08,1,14,8,0.1151079136690647,0.375,0.0,Сборная России,0,Нет клуба,1,57,9,0,0,0,0.2851789422336624,0,272
2025-08-14 15:12:48.816,Статья,Трансферы РПЛ - Один из лидеров покидает ЦСКА / Оренбург усиливается,https://dzen.ru/media/id/6358cb994fee997bedba5cec/689dcc7457f9d71cbb0440bd,5,138,5,6,0,0,0,0,0.32,0.28,0.0,0.036231884057971,1.0,0.0,64.0,2025-08,3,15,8,0.036231884057971,1.0,0.0,Трансферы,1,ЦСКА,1,68,11,1,0,0,0.2776317365982795,0,274
2025-08-18 18:23:56.450,Статья,Трансферы ЦСКА - Новый вингер и правый защитник,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68a342ccf621af7c9ec724a5,16,816,51,18,0,0,0,0,0.9,0.9,0.0,0.0625,0.3137254901960784,0.0,56.25,2025-08,0,18,8,0.0625,0.3137254901960784,0.0,Трансферы,1,ЦСКА,1,47,8,0,0,0,0.6418538861723948,0,278
2025-08-20 13:47:24.679,Статья,"Спартак нашел крайнего защитника, а ЦСКА подписал замену Роше / Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/68a5a6f15c17887c5e2bab3a,2,167,3,1,0,0,0,0,0.06,0.03,0.0,0.0179640718562874,0.6666666666666666,0.0,30.0,2025-08,2,13,8,0.0179640718562874,0.6666666666666666,0.0,Трансферы,1,ЦСКА,1,77,12,1,0,0,0.05826890812397577,0,280
2025-08-22 16:35:26.701,Статья,Антон Миранчук вернулся в Россию / Спартак покупает центрального защитника,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68a8511d1a283d7e344dba36,8,190,11,7,1,0,0,0,0.36,0.33,0.0,0.0578947368421052,0.7272727272727273,0.125,45.0,2025-08,4,16,8,0.0578947368421052,0.7272727272727273,0.125,Другое,1,Спартак,1,74,10,1,0,0,0.3074846997479606,0,282
2025-08-29 16:50:08.827,Статья,Анонс 7 тура РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b1afa175b77f739835ca4c,113,77630,925,37,0,3,5,0,1.8,1.8,0.0,0.0119154965863712,0.1221621621621621,0.0442477876106194,15.929203539823009,2025-08,4,16,8,0.0119154965863712,0.1221621621621621,0.0442477876106194,Другое,0,Нет клуба,1,16,4,0,0,1,1.0296194171811581,0,289
2025-08-30 10:00:54.539,Статья,Пруцев в Локомотиве / Два футболиста покинули Зенит - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b1b7df910c7045df22cada,739,34805,943,449,0,1,4,0,22.57,21.63,0.0,0.0270938083608676,0.7836691410392365,0.0054127198917456,30.54127198917456,2025-08,5,10,8,0.0270938083608676,0.7836691410392365,0.0054127198917456,Трансферы,1,Зенит,1,67,11,1,0,0,3.1599747169480397,0,290
2025-08-31 10:00:31.226,Статья,Иван Игнатьев возвращается в Россию / Рубин купил защитника у Зенита - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b38b5ff1e9f262a34f84a2,1519,87177,2264,1214,1,5,4,0,61.01,59.72,0.0,0.0259701526778852,0.6709363957597173,0.0032916392363396,40.164581961816985,2025-08,6,10,8,0.0259701526778852,0.6709363957597173,0.0032916392363396,Трансферы,1,Зенит,1,84,14,1,0,0,4.127295662361787,0,291
2025-09-01 16:05:03.239,Статья,Осинькин возвращается к работе в РПЛ / Карпин может покинуть Динамо,https://dzen.ru/media/id/6358cb994fee997bedba5cec/68b5608f8eada37e495e05aa,15990,391827,20484,11799,47,73,96,0,592.7700000000001,579.19,0.0,0.0522781737858799,0.7806092560046866,0.0089430894308943,37.07129455909944,2025-09,0,16,9,0.0522781737858799,0.7806092560046866,0.0089430894308943,Слухи и мнения,0,Динамо,0,67,11,1,1,0,6.386492038992077,1,292
