Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean
2026-09-03 13:34:56.783,Статья,Карраскаль может вернутся в Россию / Зенит хочет купить Головина - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a992c511a234943695d5a0c,1352,19441,1722,552,4,4,9,0,26.95,25.32,0.0,0.08857569055089759,0.7851335656213705,0.009615384615384616,19.933431952662723,2026-09,Thursday,13,9,0.08857569055089759,0.7851335656213705,0.009615384615384616
2026-09-02 12:21:34.058,Статья,Динамо снова выходит на трансферный рынок / Игрок Зенита выступит в Лиге Чемпионов - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a97d680a473f256e79dfcd8,5654,54873,7712,3321,9,15,26,0,162.23999999999998,160.82,0.0,0.14054270770688682,0.7331431535269709,0.006190307746727981,28.694729395118497,2026-09,Wednesday,12,9,0.14054270770688682,0.7331431535269709,0.006190307746727981
2026-09-01 11:32:33.630,Статья,Мостовой определилися с клубом / Акрон покупает игрока сборной Армении - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a968717506b0a2bee6b0948,33322,266000,47904,18982,62,83,127,0,927.37,919.36,0.0,0.18009022556390977,0.6955995323981295,0.00567192845567493,27.830562391213014,2026-09,Tuesday,11,9,0.18009022556390977,0.6955995323981295,0.00567192845567493
2026-08-31 13:13:48.390,Статья,ЦСКА покупает вингера / Луис Энрике покинет Зенит - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a953da274fe4757e916810c,12084,113879,16498,8378,11,27,53,0,409.29999999999995,406.28,0.0,0.14487306702728334,0.7324524184749667,0.005296259516716319,33.87123469049983,2026-08,Monday,13,8,0.14487306702728334,0.7324524184749667,0.005296259516716319
2026-08-29 22:16:34.163,Статья,Защитник покидает Краснодар \ ЦСКА покупает Аззи из Динамо Махачкала - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a93248e74fe4757e9294cf1,40441,359720,58292,24080,22,79,115,0,1176.47,1173.56,0.0,0.16204825975758924,0.6937658683867426,0.003387651146114092,29.09102148809377,2026-08,Saturday,22,8,0.16204825975758924,0.6937658683867426,0.003387651146114092
2026-08-28 13:45:49.936,Статья,Кокшаров переходит в Факел / в Родину приехал французский защитник - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a915382b550ae50d76f0fc7,9821,108817,11431,6505,7,18,44,0,317.8,315.23,0.0,0.10504792449709145,0.8591549295774648,0.005192953874350881,32.3592302209551,2026-08,Friday,13,8,0.10504792449709145,0.8591549295774648,0.005192953874350881
2026-08-27 11:30:25.483,Статья,Динамо покупает двух игроков в атаку / Факел подписал бразильца Клэйтона - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a8fe8c93487551d70257e17,10206,81973,12859,6346,28,25,69,0,310.02000000000004,309.3,0.0,0.1568687250680102,0.793685356559608,0.009504213207916912,30.37624926513816,2026-08,Thursday,11,8,0.1568687250680102,0.793685356559608,0.009504213207916912
2026-08-26 10:01:47.326,Статья,Главные выводы после 5 туров РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a8d512cffe35a5acc443169,14936,242917,21259,14125,22,55,105,0,690.09,688.47,0.0,0.0875154888295179,0.7025730278940684,0.008502945902517408,46.20313336904124,2026-08,Wednesday,10,8,0.0875154888295179,0.7025730278940684,0.008502945902517408
2026-08-25 11:21:54.868,Статья,"Краснодар берет еще одного бразильского защитника, которому 30 лет / Олейников переходит в Рубин - Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a8d45f423e63943c2cd736c,6738,78843,9089,5045,5,19,24,0,246.49,244.18,0.0,0.11527973314054514,0.7413356804929035,0.0043039477589789255,36.58207183140398,2026-08,Tuesday,11,8,0.11527973314054514,0.7413356804929035,0.0043039477589789255
2026-08-24 12:17:37.309,Статья,Спартак присматривается к Ромуло / ЦСКА интересен нападающий Аль-Джазиры - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a8bf6de23e63943c293af18,17198,145605,26562,11532,17,33,61,0,563.4300000000001,560.96,0.0,0.18242505408468115,0.6474663052480988,0.004535411094313292,32.76136760088383,2026-08,Monday,12,8,0.18242505408468115,0.6474663052480988,0.004535411094313292
2026-08-23 13:42:39.858,Статья,Динамо предлагает 7 млн евро за бризльского вингера / Локомотиву интересен игрок Балтики - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a8a8e4e393b894246fb228f,3002,49847,4403,1680,8,17,21,0,82.06,81.86,0.0,0.0883302906895099,0.6818078582784465,0.009660226515656229,27.335109926715525,2026-08,Sunday,13,8,0.0883302906895099,0.6818078582784465,0.009660226515656229
2026-08-21 13:11:53.948,Статья,Онугха вернулся в Россию / Новый нападающий в Крыльях - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a881a0ba22f2c2b92c764d2,3000,46485,3913,2059,5,5,8,0,100.57,99.83,0.0,0.08417769172851458,0.7666751852798365,0.004333333333333333,33.523333333333326,2026-08,Friday,13,8,0.08417769172851458,0.7666751852798365,0.004333333333333333
2026-08-20 14:20:34.579,Статья,Краснодар хочет купить бразильца из Фламенго / Балтика продает защитника в Болонью - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a86dc6f05fcb91b2d959118,9460,103271,13451,6343,9,29,51,0,309.90000000000003,309.18,0.0,0.13024953762430885,0.7032934354323098,0.006342494714587738,32.75898520084567,2026-08,Thursday,14,8,0.13024953762430885,0.7032934354323098,0.006342494714587738
2026-08-19 13:42:56.819,Статья,Варианты нападающих для Локомотива - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a857c8b1f511f6ea8755bc6,17931,177190,21379,11399,32,48,56,0,556.9200000000001,554.23,0.0,0.12065579321632146,0.8387202394873474,0.00490770174558028,31.05905972896102,2026-08,Wednesday,13,8,0.12065579321632146,0.8387202394873474,0.00490770174558028
2026-08-18 12:19:49.253,Статья,Бабкин вернется в Локомотив / Рубин нашел замену Даку - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a841a05bc2e5d247c02c82a,19765,208979,25053,14022,12,44,69,0,685.0600000000001,682.95,0.0,0.11988285904325315,0.7889274737556381,0.00409815330129016,34.66025803187453,2026-08,Tuesday,12,8,0.11988285904325315,0.7889274737556381,0.00409815330129016
2026-08-17 13:27:16.757,Статья,Динамо хочет подписать игрока сборной Чили / Чесноков переходит в Крылья Советов - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a82d9b05eaac11ce96539fb,6412,82802,8382,3892,3,12,39,0,190.17000000000002,189.55,0.0,0.10122943890244197,0.7649725602481507,0.006550218340611353,29.658452900810982,2026-08,Monday,13,8,0.10122943890244197,0.7649725602481507,0.006550218340611353
